DateTime,Date,Hour,Day of the Week,Season,Daytime,Consumption (kW)
2021-11-26 15:30:00,2021-11-26,15:30:00,4,3,1,0.362
2021-11-26 15:45:00,2021-11-26,15:45:00,4,3,1,0.2674999999999999
2021-11-26 16:00:00,2021-11-26,16:00:00,4,3,1,0.173
2021-11-26 16:15:00,2021-11-26,16:15:00,4,3,1,0.2505
2021-11-26 16:30:00,2021-11-26,16:30:00,4,3,1,0.328
2021-11-26 16:45:00,2021-11-26,16:45:00,4,3,1,0.4645
2021-11-26 17:00:00,2021-11-26,17:00:00,4,3,1,0.601
2021-11-26 17:15:00,2021-11-26,17:15:00,4,3,1,0.5700000000000001
2021-11-26 17:30:00,2021-11-26,17:30:00,4,3,0,0.539
2021-11-26 17:45:00,2021-11-26,17:45:00,4,3,0,0.49
2021-11-26 18:00:00,2021-11-26,18:00:00,4,3,0,0.441
2021-11-26 18:15:00,2021-11-26,18:15:00,4,3,0,0.3924999999999999
2021-11-26 18:30:00,2021-11-26,18:30:00,4,3,0,0.344
2021-11-26 18:45:00,2021-11-26,18:45:00,4,3,0,0.3329999999999999
2021-11-26 19:00:00,2021-11-26,19:00:00,4,3,0,0.322
2021-11-26 19:15:00,2021-11-26,19:15:00,4,3,0,0.3385
2021-11-26 19:30:00,2021-11-26,19:30:00,4,3,0,0.355
2021-11-26 19:45:00,2021-11-26,19:45:00,4,3,0,0.3835
2021-11-26 20:00:00,2021-11-26,20:00:00,4,3,0,0.412
2021-11-26 20:15:00,2021-11-26,20:15:00,4,3,0,0.3819999999999999
2021-11-26 20:30:00,2021-11-26,20:30:00,4,3,0,0.352
2021-11-26 20:45:00,2021-11-26,20:45:00,4,3,0,0.349
2021-11-26 21:00:00,2021-11-26,21:00:00,4,3,0,0.346
2021-11-26 21:15:00,2021-11-26,21:15:00,4,3,0,0.3045
2021-11-26 21:30:00,2021-11-26,21:30:00,4,3,0,0.263
2021-11-26 21:45:00,2021-11-26,21:45:00,4,3,0,0.2855
2021-11-26 22:00:00,2021-11-26,22:00:00,4,3,0,0.308
2021-11-26 22:15:00,2021-11-26,22:15:00,4,3,0,0.2925
2021-11-26 22:30:00,2021-11-26,22:30:00,4,3,0,0.277
2021-11-26 22:45:00,2021-11-26,22:45:00,4,3,0,0.287
2021-11-26 23:00:00,2021-11-26,23:00:00,4,3,0,0.297
2021-11-26 23:15:00,2021-11-26,23:15:00,4,3,0,0.292
2021-11-26 23:30:00,2021-11-26,23:30:00,4,3,0,0.287
2021-11-26 23:45:00,2021-11-26,23:45:00,4,3,0,0.281
2021-11-27 00:00:00,2021-11-27,00:00:00,5,3,0,0.275
2021-11-27 00:15:00,2021-11-27,00:15:00,5,3,0,0.2615
2021-11-27 00:30:00,2021-11-27,00:30:00,5,3,0,0.248
2021-11-27 00:45:00,2021-11-27,00:45:00,5,3,0,0.3025
2021-11-27 01:00:00,2021-11-27,01:00:00,5,3,0,0.357
2021-11-27 01:15:00,2021-11-27,01:15:00,5,3,0,0.398
2021-11-27 01:30:00,2021-11-27,01:30:00,5,3,0,0.439
2021-11-27 01:45:00,2021-11-27,01:45:00,5,3,0,0.3375
2021-11-27 02:00:00,2021-11-27,02:00:00,5,3,0,0.236
2021-11-27 02:15:00,2021-11-27,02:15:00,5,3,0,0.306
2021-11-27 02:30:00,2021-11-27,02:30:00,5,3,0,0.376
2021-11-27 02:45:00,2021-11-27,02:45:00,5,3,0,0.2695
2021-11-27 03:00:00,2021-11-27,03:00:00,5,3,0,0.163
2021-11-27 03:15:00,2021-11-27,03:15:00,5,3,0,0.147
2021-11-27 03:30:00,2021-11-27,03:30:00,5,3,0,0.131
2021-11-27 03:45:00,2021-11-27,03:45:00,5,3,0,0.129
2021-11-27 04:00:00,2021-11-27,04:00:00,5,3,0,0.127
2021-11-27 04:15:00,2021-11-27,04:15:00,5,3,0,0.1245
2021-11-27 04:30:00,2021-11-27,04:30:00,5,3,0,0.122
2021-11-27 04:45:00,2021-11-27,04:45:00,5,3,0,0.1255
2021-11-27 05:00:00,2021-11-27,05:00:00,5,3,0,0.129
2021-11-27 05:15:00,2021-11-27,05:15:00,5,3,0,0.142
2021-11-27 05:30:00,2021-11-27,05:30:00,5,3,0,0.155
